"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"A00037378","Adult- Age 22-59","V2","4","4","4","4","1","4","4","4","1","1","1","4","4","1","1","4","1","1","1","1","1","1","4","1","4","5","7","7","4","1","1","1","6","6","7","6","5","5","7","5","6","6","5","5","7","6","7","4","5","6","3","4","2","5","5","7","1","1","7","6","1","4","1","4","1","1","4","4","1","1","1","3","1","1","1","1","1","1","1","1","4","1","4","1","1","4","7","7","1","1","18","15","13","15","24","85","37","32","36","27","15","147","6","14","12","9","24","65"
"A00066831","ONE_DAY-Age 65-85","VA","6","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","4","7","5","7","6","4","7","7","6","6","6","7","7","7","5","6","6","7","7","5","5","5","5","6","6","5","5","6","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","4","1","1","4","1","4","6","6","6","6","16","40","34","38","38","35","25","170","9","6","6","9","12","42"
"A00039635","Adult- Age 22-59","V2","7","7","1","7","2","4","4","1","2","2","1","5","6","3","1","2","4","5","2","3","4","4","3","1","4","4","4","4","3","4","2","2","3","3","4","3","4","3","3","4","5","3","2","2","5","4","2","2","4","2","2","4","3","5","5","5","3","1","4","2","4","7","2","5","3","3","3","1","2","2","2","3","5","4","2","2","2","3","1","2","3","2","1","1","5","3","2","4","2","3","22","17","17","21","27","104","20","16","21","23","16","96","14","18","13","21","18","84"
"A00066820","ONE_DAY-Age 65-85","VA","6","1","1","6","1","1","6","1","1","1","1","1","1","1","1","1","1","4","1","1","6","6","3","1","1","1","1","6","1","1","1","5","6","3","7","6","3","7","7","6","7","3","4","6","7","5","7","3","5","7","3","3","3","7","3","6","3","2","6","6","1","4","1","4","1","1","4","1","1","1","1","2","1","2","1","1","1","3","2","1","6","4","1","1","4","1","2","4","1","1","14","6","8","6","31","65","36","28","37","31","15","147","6","13","6","13","21","59"
"A00044408","Older Adult- Age 65-85","V2","1","1","1","6","1","1","5","1","1","1","1","1","1","1","1","2","1","1","1","1","1","4","7","1","1","1","7","7","1","4","5","7","7","7","7","7","3","7","7","7","7","7","7","7","7","6","7","7","7","7","6","5","4","7","7","7","1","1","5","5","4","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","4","7","1","2","11","10","12","6","25","64","37","42","39","42","21","181","7","6","6","6","25","50"
"A00044369","Older Adult- Age 65-85","V2","4","2","3","6","4","5","3","3","1","3","2","5","2","3","5","4","5","3","2","2","5","5","5","1","1","3","2","4","2","2","2","2","4","3","3","3","4","3","6","4","6","3","4","5","2","2","2","4","6","5","3","2","4","7","7","5","5","3","5","5","4","1","2","5","1","2","2","3","1","2","1","3","1","2","1","2","2","5","1","2","3","2","2","1","1","2","2","3","2","2","23","17","24","10","23","97","25","22","21","32","19","119","11","20","10","6","16","63"
"A00039277","Adult- Age 22-59","V2","7","4","3","7","3","2","7","2","1","1","2","4","6","5","2","1","1","7","4","1","7","7","5","2","6","5","7","7","1","1","1","3","3","1","2","3","1","2","7","7","6","2","4","2","6","7","6","1","3","7","1","1","3","3","3","3","1","1","7","5","1","1","4","5","4","4","6","4","1","1","3","5","5","4","3","1","1","7","4","1","7","6","1","2","7","1","6","7","1","1","28","7","17","24","42","118","36","11","27","22","6","102","9","29","11","22","33","104"
"A00053647","Adult- Age 22-59","V2","6","2","1","7","3","2","3","1","2","5","3","7","5","1","2","3","5","6","1","1","7","2","3","1","7","5","1","6","6","1","1","1","7","1","6","4","5","6","5","6","6","5","5","7","7","3","2","4","7","6","5","5","5","6","2","5","2","2","3","5","1","1","4","7","2","3","1","3","4","2","2","6","3","2","3","2","1","5","1","1","5","2","1","1","7","3","2","4","3","3","23","19","19","19","25","105","26","30","31","27","20","134","17","27","11","15","15","85"
"A00037375","Adult- Age 22-59","V2","7","6","1","6","5","2","6","1","4","3","1","5","6","5","5","1","1","6","1","1","7","6","1","1","1","6","6","7","1","1","1","2","5","4","3","4","4","5","5","4","6","6","4","4","5","5","6","5","3","5","1","2","3","4","6","5","2","2","5","1","1","5","7","4","1","4","2","7","7","7","1","7","4","7","1","1","1","7","1","1","7","4","1","1","1","1","4","7","1","7","24","12","19","16","39","110","24","29","27","25","12","117","27","39","6","13","25","110"
"A00040226","Adult- Age 22-59","V2","6","1","1","1","3","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","7","5","6","1","1","1","5","6","1","1","1","6","7","7","3","7","7","7","7","7","7","7","7","7","7","2","7","7","7","7","1","4","4","7","7","6","4","2","7","4","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","2","1","1","1","4","6","1","4","6","7","14","7","30","64","34","42","34","41","19","170","9","6","7","6","25","53"
"A00038414","Older Adult- Age 60-64","V2","6","5","1","5","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","6","4","1","1","1","1","1","6","1","1","1","2","7","2","6","6","2","5","7","6","7","6","7","5","7","6","7","6","6","7","4","3","6","7","7","7","4","2","7","4","1","4","1","4","1","3","3","1","1","2","4","2","2","4","1","1","1","2","4","1","6","4","1","1","1","1","4","7","1","4","10","6","6","10","27","59","36","31","40","36","16","159","12","14","6","16","25","73"
"A00054038","Older Adult- Age 65-85","V2","6","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","5","1","1","1","1","3","1","1","1","1","5","5","5","5","5","5","5","6","7","5","5","5","5","7","5","7","5","5","7","3","3","5","7","7","7","2","6","7","3","4","4","1","3","1","1","3","1","1","1","1","1","2","1","1","1","1","1","3","1","6","5","1","1","1","1","4","1","1","3","6","6","6","8","19","45","33","30","38","34","20","155","8","8","6","12","23","57"
"A00037818","Older Adult- Age 65-85","V2","6","2","1","5","5","5","2","1","6","2","1","3","4","1","6","6","1","2","4","1","4","3","7","1","7","1","7","7","1","4","2","4","7","4","6","2","3","7","3","6","7","5","3","7","3","5","5","6","5","5","3","5","3","7","2","5","1","2","6","1","4","2","5","4","1","4","1","7","5","5","1","5","1","3","3","1","1","3","1","1","4","4","1","1","5","1","4","4","1","4","13","24","21","19","29","106","23","36","27","28","16","130","20","27","8","11","21","87"
"A00060252","Older Adult- Age 65-85","V2","7","6","1","7","1","1","5","1","1","1","1","5","5","1","1","1","1","3","1","1","1","2","1","1","1","1","1","7","1","1","1","3","7","5","7","6","1","7","7","7","7","7","3","7","7","5","7","7","7","7","7","3","7","7","7","7","2","4","7","1","1","4","1","4","1","4","1","1","1","1","1","2","2","1","1","1","1","3","1","1","4","3","1","1","1","1","1","5","1","2","18","6","6","15","23","68","33","40","42","34","18","167","10","12","6","10","15","53"
"A00062282","ONE_DAY- Age 22-59","VA","7","7","1","1","1","5","7","1","5","5","6","1","7","1","7","4","2","5","7","3","7","7","5","7","7","7","7","7","1","6","1","1","6","6","7","4","1","6","7","4","4","4","2","4","5","6","4","5","2","4","6","1","5","2","3","3","1","3","2","2","4","7","4","4","1","4","7","4","4","4","3","3","5","4","5","1","1","5","7","1","7","7","4","7","7","5","5","7","4","6","10","26","25","41","42","144","25","31","28","14","13","111","23","24","17","36","37","137"
"A00050912","Adult- Age 22-59","V2","7","5","1","7","3","7","7","1","1","1","5","2","5","1","7","1","1","5","1","1","7","7","7","1","5","5","5","7","1","1","1","4","7","4","5","1","1","7","7","1","4","5","4","7","1","7","7","4","1","7","1","1","1","7","3","4","1","1","7","1","4","6","4","4","1","3","4","4","1","4","5","4","4","5","4","1","1","5","1","2","7","7","5","1","4","3","4","7","3","1","17","12","24","22","40","115","24","34","25","23","6","112","13","26","16","21","33","109"
"A00040181","Older Adult- Age 65-85","V2","7","6","1","2","2","3","4","1","1","1","1","1","3","1","1","3","1","1","1","1","3","2","2","1","1","1","1","3","1","1","2","2","7","7","7","7","4","7","7","7","7","7","6","7","7","5","7","7","7","7","2","4","7","7","7","7","6","2","7","7","1","4","1","1","1","1","4","1","1","1","1","1","2","1","1","1","1","1","1","1","4","3","1","1","1","1","2","4","1","1","7","10","8","13","20","58","40","42","42","36","20","180","6","6","6","10","18","46"
"A00060628","ONE_DAY- Age 18-21","VA","7","7","1","1","4","1","5","1","5","3","4","1","7","1","7","1","1","1","1","7","4","5","7","1","1","5","7","6","4","5","1","1","5","5","3","3","6","5","7","2","6","4","7","5","6","5","6","4","7","7","6","6","5","6","6","6","4","4","5","2","4","7","1","1","4","1","7","1","4","3","3","1","4","1","4","1","1","1","1","1","7","7","2","1","1","1","4","4","1","6","6","19","31","21","34","111","24","28","33","33","27","145","16","6","13","17","33","85"
"A00040678","Adult- Age 22-59","V2","5","4","1","6","1","4","2","1","1","1","1","5","2","1","1","1","1","3","1","1","4","5","1","1","1","1","6","4","1","1","5","4","7","5","7","5","7","7","7","7","7","4","7","7","7","7","7","5","7","7","4","5","7","7","7","6","4","4","7","7","4","4","1","4","1","4","1","1","1","1","1","4","1","1","1","1","1","4","1","1","4","3","1","1","1","1","4","4","1","5","17","9","6","10","26","68","40","35","41","39","29","184","13","15","6","9","20","63"
"A00061711","ONE_DAY- Age 22-59","VA","5","7","1","1","4","1","4","1","1","1","4","1","4","1","3","2","1","4","5","5","5","5","6","4","4","3","5","6","4","1","1","1","7","4","2","6","4","7","5","4","3","7","5","7","6","4","4","6","4","3","3","3","2","5","4","4","2","2","4","1","1","7","6","4","4","4","2","7","2","2","4","7","4","7","3","1","2","7","4","3","5","1","1","4","5","2","4","4","2","2","9","10","22","28","30","99","24","38","21","22","15","120","13","38","15","28","17","111"
"A00040439","Adult- Age 22-59","V2","6","1","1","6","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","2","1","1","1","3","3","1","1","2","7","7","2","5","6","5","7","7","7","7","7","6","7","7","6","6","7","6","7","4","3","7","6","6","7","4","4","7","6","5","1","1","6","1","1","3","1","1","1","1","1","2","1","1","2","1","3","2","1","6","5","1","1","1","1","5","5","1","1","11","6","7","6","24","54","39","37","39","38","22","175","7","13","6","8","29","63"
"A00038159","Adult-Age 18-21","V2","1","7","1","6","1","5","5","1","1","1","4","5","6","1","1","1","1","2","6","1","5","4","2","5","6","5","6","4","1","3","1","1","7","4","6","4","2","7","7","7","3","2","3","7","7","7","7","5","4","7","4","3","2","2","1","2","2","2","6","6","1","7","3","5","3","4","4","4","1","1","5","5","6","2","1","1","1","3","6","1","6","4","1","5","6","4","4","4","1","1","16","12","11","34","25","98","37","32","31","14","14","128","9","22","11","35","23","100"
"A00053901","Adult- Age 22-59","V2","6","6","1","6","2","1","1","1","1","1","1","4","1","1","1","2","1","3","1","4","5","3","6","1","1","3","2","2","3","2","3","4","7","5","7","7","5","7","7","7","7","6","7","7","7","5","7","4","7","6","2","3","2","7","7","2","2","1","3","4","2","4","1","4","1","2","3","1","1","1","1","3","1","1","1","2","1","4","1","1","4","4","4","1","3","2","4","4","2","4","16","10","17","11","19","73","33","36","31","39","16","155","12","14","10","11","21","68"
"A00056489","Adult- Age 22-59","V2","3","1","3","4","2","4","5","2","6","1","2","4","5","3","2","1","3","1","7","3","4","1","1","5","3","7","4","6","1","1","1","3","6","6","7","6","7","6","7","7","7","7","4","6","7","6","7","7","2","7","2","2","5","5","6","6","1","4","7","4","3","3","2","2","2","2","1","4","3","1","3","3","5","1","1","1","1","1","4","1","4","4","3","2","3","2","2","4","1","1","17","14","18","23","23","95","37","38","39","27","17","158","9","13","10","20","18","70"
"A00035699","Adult- Age 22-59","V2","5","7","1","5","3","5","5","1","3","1","3","5","1","1","3","3","1","5","2","1","5","3","1","1","1","1","5","5","2","1","2","2","6","3","6","2","2","6","4","2","6","6","4","6","7","4","6","2","7","7","5","6","7","7","6","5","3","3","6","5","4","4","2","4","1","4","4","5","1","4","3","3","4","3","1","3","1","4","4","1","3","4","1","1","3","1","5","5","1","1","18","15","10","15","28","86","23","29","38","32","21","143","14","21","6","19","25","85"
"A00039700","Older Adult- Age 65-85","V2","7","5","1","4","1","5","5","1","1","1","1","1","1","1","1","2","1","1","1","1","7","5","1","1","1","3","7","7","1","1","1","3","7","6","7","4","3","7","7","7","7","7","7","7","7","4","4","7","7","7","4","3","4","4","3","4","1","2","7","7","4","2","1","3","1","3","3","1","1","1","1","1","1","1","1","1","3","1","1","1","7","3","1","1","4","4","7","4","4","4","9","11","8","10","38","76","36","41","33","31","14","155","14","8","11","10","28","71"
"A00035504","Adult- Age 22-59","V2","7","7","1","5","2","1","5","1","5","1","5","1","6","1","2","1","6","5","7","1","7","7","7","6","4","3","6","7","1","1","1","2","7","6","5","7","2","7","4","7","3","5","4","2","6","6","5","2","2","7","4","3","5","4","5","3","3","5","7","5","1","6","1","1","2","1","4","1","2","1","4","2","4","1","1","1","2","4","4","1","7","5","2","4","3","1","6","5","1","1","14","10","21","35","39","119","36","29","31","20","18","134","7","10","9","25","28","79"
"A00041049","Adult- Age 22-59","V2","7","5","1","6","1","1","2","1","1","1","2","1","6","1","1","1","1","6","1","1","5","2","7","4","7","1","1","7","1","3","1","3","7","2","7","7","5","7","7","7","5","7","2","7","7","7","5","3","7","7","2","2","1","7","1","7","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","4","3","4","1","7","1","1","4","1","1","16","8","12","25","24","85","36","33","34","25","18","146","6","9","9","12","14","50"
"A00062268","ONE_DAY- Age 22-59","VA","6","3","1","1","1","2","4","1","1","1","1","1","1","1","1","2","1","1","1","1","5","3","5","1","1","1","2","2","1","1","1","3","2","6","5","2","4","5","7","7","7","7","6","5","7","4","4","7","6","6","4","5","4","7","7","7","2","4","7","2","3","5","2","1","2","4","2","1","1","1","1","1","1","2","1","3","1","1","1","1","7","4","2","1","1","1","2","3","1","2","6","8","10","8","22","54","29","32","33","36","20","150","12","8","8","10","21","59"
"A00040054","Older Adult- Age 65-85","V2","5","6","1","1","1","1","5","1","1","1","1","5","1","1","1","1","5","1","1","1","5","5","2","1","5","1","1","5","1","1","1","1","7","7","7","6","1","7","7","7","7","7","7","7","7","7","5","7","7","7","5","3","7","7","7","7","7","5","7","7","4","4","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","1","1","1","2","4","1","1","1","1","1","2","1","1","10","6","11","15","26","68","41","42","40","36","22","181","6","6","7","9","16","44"
"A00028287","Adult-Age 18-21","V2","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","1","4","3","2","1","1","1","1","1","1","1","1","1","5","6","7","7","7","7","7","7","7","7","4","7","7","6","7","7","2","7","4","1","4","2","1","6","4","4","7","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","6","3","2","2","3","1","4","5","1","1","6","6","7","10","17","46","39","39","38","17","21","154","6","6","8","10","20","50"
"A00043803","ENROLLED","V2","7","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","7","1","1","7","1","1","1","7","7","7","1","2","7","7","1","2","1","1","1","1","1","1","2","3","4","4","4","4","7","7","7","7","6","3","3","4","7","7","7","3","2","1","3","4","1","4","4","4","1","4","1","1","4","4","7","7","4","1","4","1","7","7","4","1","4","4","4","7","4","7","4","4","4","4","6","21","24","18","13","82","20","18","28","30","12","108","21","24","24","30","18","117"
"A00035553","Adult- Age 22-59","V2","4","4","3","5","5","5","5","5","1","2","3","5","5","4","3","3","5","5","3","1","5","4","5","4","4","4","3","4","5","4","3","3","4","2","5","3","4","3","1","2","2","3","3","3","6","4","4","3","4","7","4","3","3","2","3","2","3","3","2","3","4","3","4","4","4","3","4","4","3","4","4","3","3","4","3","4","3","4","4","4","4","4","3","3","4","3","4","3","3","4","27","20","23","23","25","118","15","18","27","17","20","97","21","23","20","21","23","108"
"A00037647","Adult- Age 22-59","V2","1","2","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","3","5","1","6","5","5","5","3","1","6","5","1","2","5","3","7","3","6","6","5","7","7","6","6","5","6","7","7","6","5","4","3","5","4","3","4","2","3","7","1","2","7","3","5","4","2","5","1","2","1","2","1","1","2","2","1","2","1","1","1","6","5","1","6","5","2","5","4","1","4","4","1","2","14","7","10","17","24","72","35","33","34","23","20","145","8","19","7","21","25","80"
"A00037124","Older Adult- Age 60-64","V2","6","7","1","4","1","1","1","1","1","1","1","1","1","1","1","2","6","4","1","1","5","4","3","1","4","2","7","4","1","2","1","5","7","4","7","7","7","7","7","6","7","7","5","7","6","4","4","4","7","7","3","4","3","7","7","4","2","3","6","1","1","6","1","7","1","1","1","4","1","1","7","1","7","5","1","1","1","7","7","1","6","4","4","1","7","1","7","5","1","1","12","8","14","15","27","76","31","36","31","38","20","156","6","25","9","35","24","99"
"A00062292","ONE_DAY- Age 22-59","VA","7","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","5","1","1","5","6","4","7","1","1","7","4","1","1","1","4","5","7","5","7","7","7","7","7","7","7","5","6","7","7","5","7","5","7","7","5","4","6","7","7","7","7","4","7","5","6","2","3","4","1","1","1","4","1","3","1","4","3","4","1","1","1","2","4","1","7","5","1","1","1","1","3","7","1","1","6","9","26","6","23","70","38","36","41","39","31","185","8","21","6","12","29","76"
"A00051514","Adult-Age 18-21","V2","7","7","1","5","7","4","7","4","1","6","5","4","7","4","1","6","1","4","7","1","6","6","2","5","1","1","3","3","1","1","1","3","3","3","1","2","1","2","7","1","3","2","2","2","7","3","7","2","5","7","1","1","6","7","7","7","2","2","7","6","1","5","4","4","4","4","1","4","1","6","3","4","4","4","1","2","1","4","5","1","5","2","1","5","3","1","4","4","1","2","22","19","13","32","32","118","26","14","35","27","8","110","16","24","9","25","17","91"
"A00033643","Adult- Age 22-59","V2","1","4","4","4","4","4","6","1","6","1","1","1","1","1","5","2","7","4","1","1","1","7","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","3","7","6","6","7","7","4","1","1","7","7","7","1","4","4","4","4","4","4","4","4","1","4","4","4","4","4","7","4","4","4","4","4","1","1","4","1","4","4","4","4","1","7","4","1","1","4","4","4","1","7","15","15","25","15","20","90","17","17","24","29","18","105","21","21","24","15","24","105"
"A00062929","ONE_DAY- Age 22-59","VA","7","4","1","6","3","1","6","1","2","1","1","1","2","1","1","1","1","1","1","1","4","7","1","1","1","1","1","7","1","1","1","1","7","2","7","2","5","7","7","4","4","7","4","6","7","4","3","6","2","6","1","5","7","7","6","7","1","1","5","1","1","1","4","5","1","7","1","2","1","4","1","4","1","2","1","1","1","4","1","1","7","4","1","1","1","1","4","7","1","3","11","7","8","10","32","68","23","35","37","24","14","133","17","21","6","6","24","74"
"A00066130","ONE_DAY-Age 65-85","VA","7","1","1","1","1","6","5","1","1","1","2","1","3","1","1","1","1","1","1","1","2","5","7","1","1","1","1","1","1","1","1","5","7","7","7","3","5","7","7","7","5","7","5","7","7","7","7","7","5","7","5","4","7","7","7","7","7","5","7","6","4","1","1","1","1","4","5","1","1","1","4","1","2","1","1","1","1","3","1","1","4","5","1","1","1","1","1","4","1","1","6","11","12","9","21","59","37","42","42","34","27","182","9","8","6","10","23","56"
"A00058667","ENROLLED","V2","7","1","1","3","6","3","4","1","1","2","2","1","1","1","5","1","2","1","6","1","7","6","5","1","1","1","5","5","1","4","1","3","5","2","2","3","2","6","7","7","6","6","6","6","7","7","7","4","2","7","5","3","6","4","3","7","2","5","6","2","4","2","2","5","5","3","4","1","2","3","2","2","2","2","3","2","1","5","5","1","6","4","3","4","2","1","4","5","1","3","8","12","20","12","34","86","32","29","36","24","18","139","14","17","14","17","27","89"
