"","","","I become easily frightened.","I am often late for appointments.","Sometimes minor events cause me to feel intense happiness.","I find loud noises to be very irritating.","It's often hard for me to alternate between two different tasks.","I rarely become annoyed when I have to wait in a slow moving line.","I would not enjoy the sensation of listening to loud music with a laser light show.","I often make plans that I do not follow through with.","I rarely feel sad after saying goodbye to friends or relatives.","Barely noticeable visual details rarely catch my attention.","Even when I feel energized, I can usually sit still without much trouble if it's necessary.","Looking down at the ground from an extremely high place would make me feel uneasy.","When I am listening to music, I am usually aware of subtle emotional tones.","I would not enjoy a job that involves socializing with the public.","I can keep performing a task even when I would rather not do it.","I sometimes seem to be unable to feel pleasure from events and activities that I should enjoy.","I find it very annoying when a store does not stock an item that I wish to buy.","I tend to notice emotional aspects of paintings and pictures.","I usually like to talk a lot.","I seldom become sad when I watch a sad movie.","I'm often aware of the sounds of birds in my vicinity.","When I am enclosed in small places such as an elevator, I feel uneasy.","When listening to music, I usually like to turn up the volume more than other people.","I sometimes seem to understand things intuitively.","Sometimes minor events cause me to feel intense sadness.","It is easy for me to hold back my laughter in a situation when laughter wouldn't be appropriate.","I can make myself work on a difficult task even when I don't feel like trying.","I rarely ever have days where I don't at least experience brief moments of intense happiness.","When I am trying to focus my attention, I am easily distracted.","I would probably enjoy playing a challenging and fast paced video-game that makes lots of noise and has lots of flashing, bright lights.","Whenever I have to sit and wait for something (e.g., a waiting room), I become agitated.","I'm often bothered by light that is too bright.","I rarely notice the color of people's eyes.","I seldom become sad when I hear of an unhappy event.","When interrupted or distracted, I usually can easily shift my attention back to whatever I was doing before.","I find certain scratchy sounds very irritating.","I like conversations that include several people.","I am usually a patient person.","When I am resting with my eyes closed, I sometimes see visual images.","It is very hard for me to focus my attention when I am distressed.","Sometimes my mind is full of a diverse array of loosely connected thoughts and images.","Very bright colors sometimes bother me.","I can easily resist talking out of turn, even when I'm excited and want to express an idea.","I would probably not enjoy a fast, wild carnival ride.","I sometimes feel sad for longer than an hour.","I rarely enjoy socializing with large groups of people.","If I think of something that needs to be done, I usually get right to work on it.","It doesn't take very much to make me feel frustrated or irritated.","It doesn't take much to evoke a happy response in me.","When I am happy and excited about an upcoming event, I have a hard time focusing my attention on tasks that require concentration.","Sometimes, I feel a sense of panic or terror for no apparent reason.","I often notice mild odors and fragrances.","I often have trouble resisting my cravings for food, drink, etc.","Colorful flashing lights bother me.","I usually finish doing things before they are actually due (for example, paying bills, finishing homework, etc.).","I often feel sad.","I am often aware how the color and lighting of a room affects my mood.","I usually remain calm without getting frustrated when things are not going smoothly for me.","Loud music is unpleasant to me.","When I'm excited about something, it's usually hard for me to resist jumping right into it before I've considered the possible consequences.","Loud noises sometimes scare me.","I sometimes dream of vivid, detailed settings that are unlike anything that I have experienced when awake.","When I see an attractive item in a store, it's usually very hard for me to resist buying it.","I would enjoy watching a laser show with lots of bright, colorful flashing lights.","When I hear of an unhappy event, I immediately feel sad.","When I watch a movie, I usually don't notice how the setting is used to convey the mood of the characters.","I usually like to spend my free time with people.","It does not frighten me if I think that I am alone and suddenly discover someone close by.","I am often consciously aware of how the weather seems to affect my mood.","It takes a lot to make me feel truly happy.","I am rarely aware of the texture of things that I hold.","When I am afraid of how a situation might turn out, I usually avoid dealing with it.","I especially enjoy conversations where I am able to say things without thinking first.","Without applying effort, creative ideas sometimes present themselves to me.","When I try something new, I am rarely concerned about the possibility of failing.","It is easy for me to inhibit fun behavior that would be inappropriate.","I would not enjoy the feeling that comes from yelling as loud as I can.","FEAR","FRUSTRATION","SADNESS","Discomfort","NEGATIVE AFFECT","Activation Control","Attentional Control","Inhibitory Control","EFFORTFUL CONTROL","Sociability","High Intensity Pleasure","Positive Affect","EXTRAVERSION/SURGENCY","Neutral Perceptual Sensitivity","Affective Perceptual Sensivity","Associative Sensivity","ORIENTING SENSITIVITY"
"A00028552","Older Adult- Age 60-64","V2","1","1","1","1","1","4","4","1","6","4","6","4","7","1","7","1","4","6","4","2","7","1","4","5","1","7","7","4","1","4","1","1","1","2","7","4","7","6","5","4","1","1","6","5","1","7","4","1","4","1","1","4","1","4","4","1","2","4","4","1","1","6","1","4","4","1","7","2","1","1","1","2","1","6","6","7","2","2.2857142857143","2.6666666666667","3","2.5","2.6153846153846","6","6.4","6.7142857142857","6.3684210526316","5.2","3.7142857142857","4.6","4.4117647058824","5.8","4.6","4.6","5"
"A00051548","ENROLLED","V2","2","1","2","2","2","3","3","3","4","3","6","7","6","6","5","2","5","6","4","1","6","1","5","5","2","6","6","5","3","3","3","2","3","3","5","4","4","4","5","2","3","1","4","1","2","4","5","5","4","3","1","5","3","1","6","3","6","4","2","2","2","3","4","5","4","2","5","2","6","3","2","4","3","1","3","5","4","3.4285714285714","4.3333333333333","3.8571428571429","2","3.4230769230769","5.4285714285714","5.4","5.1428571428571","5.3157894736842","3.8","4.5714285714286","4.4","4.2941176470588","5.4","6","3.4","4.9333333333333"
"A00031881","Child Age 16-17","V4","1","6","4","6","1","5","1","5","4","3","7","6","6","1","5","1","5","5","5","5","4","1","6","7","1","5","3","4","4","5","1","1","2","4","4","6","5","7","6","5","3","1","6","1","2","1","3","1","4","3","1","5","2","1","1","1","4","5","4","5","4","1","4","7","2","1","5","5","5","2","2","5","2","7","3","4","4","3","2.3333333333333","2.4285714285714","3.1666666666667","2.7307692307692","2.8571428571429","4.6","5","4.1052631578947","5.8","5.4285714285714","5","5.4117647058824","5.2","5.4","4.8","5.1333333333333"
"A00066822","ONE_DAY","VA","5","6","6","7","3","5","2","5","5","2","6","3","7","5","5","5","6","6","3","2","6","7","5","6","6","5","5","5","5","3","5","5","2","2","5","7","5","5","5","6","6","5","5","2","6","5","6","5","5","6","5","6","5","5","5","6","6","3","5","6","5","6","5","5","6","2","5","5","7","5","1","5","6","5","1","3","2","5","4.5","5.5714285714286","5.6666666666667","5.1923076923077","4.1428571428571","3.4","3.8571428571429","3.8421052631579","3.8","5.2857142857143","4.4","4.5882352941176","6.2","6.4","5.6","6.0666666666667"
"A00066282","ONE_DAY- Age 22-59","VA","7","1","7","7","5","5","4","2","2","2","6","5","6","4","5","3","2","4","3","2","7","7","5","5","7","3","5","2","3","2","5","7","3","5","5","6","1","5","5","4","5","4","5","5","5","6","5","5","5","5","7","7","7","4","7","7","7","6","5","6","5","5","3","4","4","4","4","3","7","2","1","7","7","5","2","2","1","6","3.3333333333333","5.4285714285714","5.5","5.1153846153846","5.1428571428571","4","3.4285714285714","4.2105263157895","2.8","4.5714285714286","5","4.1764705882353","6.4","5.6","5","5.6666666666667"
"A00037588","Adult- Age 22-59","V2","1","4","4","5","4","5","6","1","4","4","4","5","6","1","7","1","4","5","1","4","6","4","4","4","4","1","6","1","2","4","5","4","2","3","7","5","5","3","1","2","4","4","2","1","2","2","7","4","7","2","1","1","1","4","5","1","4","3","5","2","4","1","1","4","4","4","5","4","4","1","4","4","4","4","4","4","4","3.2857142857143","4.3333333333333","3.4285714285714","4.5","3.8461538461538","5.7142857142857","5.8","4.4285714285714","5.2631578947368","4.8","4.1428571428571","5.2","4.6470588235294","4.2","4.6","2.8","3.8666666666667"
"A00061210","ONE_DAY- Age 22-59","VA","2","3","4","6","2","3","5","2","3","1","6","3","5","5","6","5","2","3","6","2","2","1","2","5","3","5","6","3","3","2","2","3","7","5","4","1","6","3","5","3","4","2","6","6","5","2","1","5","6","2","1","2","1","6","6","2","5","3","4","3","1","2","2","2","4","4","2","5","2","2","2","1","7","7","6","5","4","1.8571428571429","4","4","3.6666666666667","3.3461538461538","5.2857142857143","5.2","5.7142857142857","5.4210526315789","4.6","3.1428571428571","4.4","3.9411764705882","3.6","3.8","4.6","4"
"A00033752","Older Adult- Age 65-85","V2","2","1","2","7","1","2","7","2","6","6","6","2","4","7","5","4","3","4","2","3","6","1","2","4","2","6","5","1","2","1","2","6","6","3","5","5","5","7","3","6","4","2","6","6","6","3","3","2","4","3","1","6","6","5","4","4","3","3","4","2","5","3","1","3","4","3","2","3","7","6","1","6","4","2","3","6","6","3","3.1666666666667","4","4.8333333333333","3.7307692307692","4.5714285714286","5","5.5714285714286","5.0526315789474","3","2.1428571428571","2.6","2.5294117647059","4.6","4.6","3.2","4.1333333333333"
"A00028845","Older Adult- Age 65-85","V2","3","1","3","4","5","6","5","5","5","5","6","5","2","2","5","3","7","5","6","5","6","5","7","5","5","7","6","4","5","3","5","6","6","6","6","6","5","3","5","5","3","5","5","2","5","2","6","5","6","5","5","6","5","2","5","5","2","5","3","6","5","6","2","6","5","6","3","5","2","5","6","5","6","6","5","6","6","4.1428571428571","4.5","4","4.3333333333333","4.2307692307692","5","3.6","5","4.6315789473684","5.2","4.7142857142857","4.2","4.7058823529412","3.8","2.6","5","3.8"
"A00051603","Adult-Age 18-21","V2","1","2","1","2","1","2","1","3","6","5","3","5","3","6","6","1","7","2","3","7","6","1","7","6","1","3","3","6","2","7","3","5","5","7","6","1","6","7","7","3","2","2","7","1","1","6","3","1","6","3","1","5","5","1","5","1","1","7","1","5","5","7","2","7","1","1","5","3","1","3","5","5","2","4","6","7","2","2.8571428571429","3.1666666666667","1.1428571428571","2","2.2692307692308","4.4285714285714","5.8","4.5714285714286","4.8421052631579","3.6","6.1428571428571","5","5.0588235294118","4","2.8","5.2","4"
"A00060629","ONE_DAY- Age 18-21","VA","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"A00044345","Adult- Age 22-59","V2","1","1","5","5","3","5","7","1","3","3","6","5","4","1","1","1","6","5","7","3","6","1","5","4","4","7","4","4","4","3","4","5","3","4","4","5","7","5","1","5","1","4","6","3","1","1","6","4","5","4","1","1","3","7","6","1","4","5","3","4","5","2","2","2","1","2","6","4","4","2","6","2","1","4","2","2","7","3.2857142857143","3.8333333333333","3","4.8333333333333","3.6923076923077","5.2857142857143","4","5.1428571428571","4.8947368421053","6.8","2.5714285714286","5.4","4.6470588235294","3.8","4.6","2.4","3.6"
"A00031549","Adult- Age 22-59","V2","5","3","6","7","6","2","2","1","2","4","7","5","7","3","7","5","5","5","7","1","6","2","7","5","1","7","5","4","7","1","5","6","2","2","2","7","5","3","5","7","6","5","4","1","5","2","5","7","6","5","7","4","6","5","2","5","5","5","1","4","7","4","6","4","7","3","6","2","5","5","2","3","4","4","2","7","3","5.4285714285714","5.1666666666667","5.2857142857143","5.1666666666667","5.2692307692308","5.1428571428571","1.8","4.7142857142857","4.1052631578947","5.8","4.8571428571429","4.4","5","5.2","5.4","4.8","5.1333333333333"
"A00066389","ONE_DAY-Age 65-85","VA","2","1","5","6","1","3","6","1","3","3","6","2","5","2","7","1","4","5","5","2","6","1","2","5","3","6","2","5","2","1","2","2","2","2","6","3","5","2","1","2","5","2","5","7","5","2","6","5","5","2","2","5","2","4","6","3","4","3","6","2","5","2","1","3","4","3","3","3","5","3","2","2","3","3","3","6","5","3.1428571428571","4.5","4.5714285714286","3.8333333333333","4","5.8571428571429","6.2","6","6","5","2.1428571428571","5.4","3.9411764705882","5.6","4.8","3.2","4.5333333333333"
"A00028871","Adult- Age 22-59","V2","1","3","6","4","4","3","3","4","3","2","6","1","4","1","6","2","4","4","4","3","5","4","5","4","4","6","6","4","3","1","4","5","4","2","6","5","4","3","4","1","2","5","3","4","2","3","3","2","6","2","2","6","5","5","4","5","4","3","5","5","2","5","5","3","6","2","5","3","5","3","2","2","5","2","6","2","6","2.4285714285714","4.1666666666667","4.7142857142857","4.8333333333333","4","4.8571428571429","5.6","3.7142857142857","4.6315789473684","5","3.5714285714286","5.4","4.5294117647059","5.4","4.6","3.4","4.4666666666667"
"A00052319","Adult- Age 22-59","V2","4","3","5","1","7","3","7","1","1","1","2","7","7","1","6","1","5","7","7","7","6","1","2","6","2","7","3","4","5","2","2","4","6","6","6","5","6","3","1","5","3","6","2","6","6","1","3","6","6","7","1","7","1","5","2","1","2","5","6","1","2","3","2","1","3","6","6","4","6","2","1","3","6","6","3","2","7","3.4285714285714","4.3333333333333","3.1428571428571","4.5","3.8076923076923","4.4285714285714","2.8","4.7142857142857","4.1052631578947","6.6","2.1428571428571","5.6","4.4705882352941","5.8","4.8","3.8","4.8"
"A00033021","Older Adult- Age 65-85","V2","2","1","7","4","1","5","2","2","4","2","6","1","6","2","6","2","1","6","6","1","7","1","6","4","4","6","6","6","3","4","2","2","5","2","6","5","6","6","2","2","2","1","3","1","1","2","5","2","6","5","1","5","2","2","6","2","5","5","2","3","2","2","1","6","4","3","5","6","2","2","2","5","2","5","3","2","4","2","2.1666666666667","4","2.6666666666667","2.7307692307692","5.5714285714286","5.4","5","5.3157894736842","5.8","5","6.2","5.5882352941176","5.4","4.8","3","4.4"
"A00052340","ENROLLED","V2","1","2","4","4","3","6","7","5","4","1","6","4","6","1","7","2","5","7","5","4","5","4","2","5","2","4","5","4","5","1","1","6","1","4","6","4","6","6","4","6","1","1","5","3","4","4","2","3","5","4","1","7","1","7","5","1","6","6","5","4","1","4","4","1","4","5","6","5","4","4","7","7","5","7","7","6","6","2.1428571428571","2.5","3.2857142857143","4.5","3.0769230769231","4.1428571428571","4","5.1428571428571","4.4736842105263","5.6","2.4285714285714","4.6","4","5.4","5.2","4.2","4.9333333333333"
"A00040461","Adult- Age 22-59","V2","1","5","1","2","1","3","6","2","4","2","6","5","6","1","6","1","5","5","6","1","5","1","2","6","1","2","6","4","5","5","2","1","2","2","5","4","5","6","3","3","2","1","2","1","2","2","6","2","6","3","1","5","2","1","5","2","5","5","3","5","1","1","2","4","6","4","6","6","5","2","2","5","4","5","5","2","1","2","3.1666666666667","4","2","2.8076923076923","5","5","3.8571428571429","4.5789473684211","6","4.4285714285714","4.8","5","5.6","5","3.4","4.6666666666667"
"A00065480","ONE_DAY- Age 22-59","VA","3","3","6","6","2","3","6","3","3","2","6","5","6","4","6","2","6","5","5","3","7","6","4","7","6","5","6","5","2","2","5","5","1","2","5","5","4","6","6","5","5","4","2","2","3","5","3","5","6","5","5","7","5","4","3","4","5","5","5","5","3","4","5","5","6","4","5","3","6","6","3","5","4","6","3","3","7","4.5714285714286","4.3333333333333","5","4.8333333333333","4.6923076923077","4.4285714285714","4.6","3.5714285714286","4.1578947368421","4.2","3.4285714285714","5","4.1176470588235","6.4","5.2","5.6","5.7333333333333"
"A00061790","ONE_DAY- Age 22-59","VA","3","6","4","5","5","2","4","3","5","3","6","7","4","1","6","1","5","1","6","7","5","1","2","6","2","5","7","7","5","4","4","1","5","3","3","6","6","3","4","3","5","1","6","1","1","6","5","5","5","2","1","3","2","1","2","2","1","2","2","3","6","1","1","5","5","6","5","2","5","3","5","3","6","5","6","4","6","3.7142857142857","5.1666666666667","2.7142857142857","2.6666666666667","3.5384615384615","4.5714285714286","4","5.5714285714286","4.7894736842105","5.2","4.2857142857143","5.6","4.9411764705882","3.8","2.6","4.2","3.5333333333333"
"A00051676","Adult- Age 22-59","V2","1","1","1","1","1","1","1","1","1","1","1","1","1","5","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","1","6","1","1","3","1","1","5","1","2","6","6","1","1","1","1","6","2","2","4","6","1","1","1","1","1","1","1","1","7","2","3.1666666666667","3.7142857142857","1.8333333333333","2.6923076923077","5","5.8","3.5714285714286","4.6842105263158","3.4","3.4285714285714","4.4","3.7058823529412","5","2.2","1","2.7333333333333"
"A00061727","ONE_DAY- Age 18-21","VA","1","2","6","2","2","6","6","2","2","2","2","7","6","2","6","2","4","6","4","6","6","2","5","6","5","7","7","5","2","4","1","7","2","2","5","7","6","5","2","6","6","2","6","7","6","2","5","2","6","2","2","5","3","5","5","4","3","5","2","2","5","6","2","2","5","2","5","6","7","2","2","2","5","6","5","3","4","3.1428571428571","2.5","4.8571428571429","4.1666666666667","3.6923076923077","5.8571428571429","5","5","5.3157894736842","5.4","3.2857142857143","5.8","4.6470588235294","5.8","5.6","5.2","5.5333333333333"
"A00037647","Adult- Age 22-59","V2","1","1","5","2","1","3","4","1","4","1","6","5","5","1","7","2","2","7","5","5","5","3","5","6","2","7","6","7","1","3","2","2","1","6","7","5","5","7","4","4","4","1","2","2","2","1","7","1","6","4","1","5","1","2","7","1","2","2","4","1","2","2","5","2","5","2","7","1","4","1","1","2","4","6","2","1","3","3.5714285714286","2.8333333333333","2.7142857142857","2.6666666666667","2.9615384615385","6.7142857142857","5.8","4.7142857142857","5.7368421052632","6.2","4.1428571428571","6.2","5.3529411764706","6.2","4.8","4.4","5.1333333333333"
"A00035765","Adult- Age 22-59","V2","1","2","1","1","1","1","2","1","1","1","7","7","2222","1","7","1","1","4","2","5","1","1","1","4","1","7","6","4","5","1","1","1","2","1","7","6","6","7","1","1","1","1","7","4","5","1","6","1","6","1","1","1","1","1","4","2","4","7","1","6","2","1","1","6","5","4","5","7","1","1","1","1","1","5","6","1","7","2.1428571428571","2","4.2857142857143","1.8333333333333","2.6153846153846","6.1428571428571","6.2","5.4285714285714","5.8947368421053","5.4","2.8571428571429","5","4.2352941176471","4.4","3.25","2.4","3.3571428571429"
"A00034073","Adolescent- Age  16-17","V1","1","3","2","7","1","1","1","4","1","7","1","1","7","1","7","4","1","7","4","1","7","6","7","2","2","3","6","4","4","7","6","1","1","4","6","7","1","7","1","1","1","1","7","7","1","1","6","5","3","1","1","7","1","1","1","1","7","7","1","3","1","7","1","7","1","5","3","2222","7","6","1","1","7","7","1","1","1","2.8333333333333","3.5","3.2857142857143","3","3.16","5.1428571428571","6.2","4.4285714285714","5.1578947368421","4.4","6.1428571428571","3","4.7058823529412","5.8","6.2","3.6","5.2"
"A00065611","ONE_DAY-Age 60-64","VA","2","1","4","2","1","1","4","1","5","3","6","6","5","1","7","2","6","3","7","6","7","1","5","5","2","2","7","1","6","1","6","6","1","3","6","6","6","2","1","3","3","2","5","7","1","1","6","2","5","1","1","7","1","2","7","1","6","3","6","1","3","1","1","6","4","2","3","4","5","1","2","1","3","2","3","1","7","3.1428571428571","5.3333333333333","2.5714285714286","4","3.6923076923077","6.8571428571429","5.4","5","5.7894736842105","6","3","4.6","4.3529411764706","6.4","5","2.4","4.6"
"A00030989","Adult- Age 22-59","V2","5","6","5","6","3","6","6","2","6","3","6","5","7","5","6","3","3","6","4","3","7","2","5","5","5","6","5","3","6","1","2","5","5","3","3","5","5","7","5","6","5","1","3","1","5","3","2","3","6","5","3","5","2","5","2","3","5","6","5","2","6","6","2","3","6","5","6","3","6","3","4","5","3","5","2","6","6","4.5714285714286","2.1666666666667","4.4285714285714","4.5","3.9615384615385","3.7142857142857","3","5.5714285714286","4.2105263157895","4.6","3.2857142857143","4.8","4.1176470588235","4.8","5.4","5.2","5.1333333333333"
"A00043283","Adult- Age 22-59","V2","3","1","5","7","1","7","6","1","2","1","7","1","2","1","7","5","1","7","5","1","6","5","2","6","5","7","6","2","2","5","1","7","6","2","6","7","7","7","7","6","5","5","7","3","6","4","6","6","7","2","6","2","5","5","5","6","5","6","5","2","7","1","1","5","5","3","7","1","5","1","2","3","5","7","5","7","3","4.5714285714286","2","5.8571428571429","6","4.6538461538462","6.1428571428571","5.4","6.2857142857143","6","6","4.1428571428571","4.8","4.8823529411765","4.6","4.8","5.2","4.8666666666667"
"A00034400","Adult- Age 22-59","V2","5","1","1","1","1","2","1","1","2","5","7","7","1","1","7","1","1","1","4","5","1","1","1","4","4","4","5","1","4","1","4","3","7","5","6","1","3","4","1","4","4","1","5","1","2","4","4","4","4","2","1","5","1","2","3","1","4","4","6","4","2","1","1","4","5","2","4","4","4","4","4","3","2","4","4","4","6","3.4285714285714","3.8333333333333","3.4285714285714","2.3333333333333","3.2692307692308","5.4285714285714","5.4","5.4285714285714","5.4210526315789","4.4","3.4285714285714","3.4","3.7058823529412","2.8","3.2","2.8","2.9333333333333"
"A00052214","Older Adult- Age 65-85","V2","1","1","6","5","2","6","1","1","6","2","6","6","5","1","7","2","6","5","6","2","7","2","2","7","5","1","5","6","2","2","5","5","2","2","3","5","5","5","4","5","1","2","6","5","2","1","3","5","7","2","2","7","1","5","6","1","5","3","6","5","5","1","2","5","5","2","6","2","1","1","2","5","5","6","2","1","6","4","4.3333333333333","3.8571428571429","4.6666666666667","4.1923076923077","5.4285714285714","4.8","4.2857142857143","4.8421052631579","6.2","3.7142857142857","6.4","5.2352941176471","6.4","4.4","3.8","4.8666666666667"
"A00031893","Adult- Age 22-59","V2","1","1","5","3","1","7","1","1","6","1","6","5","5","1","7","1","5","6","4","3","5","4","7","7","1","7","7","5","2","1","1","5","2","3","7","4","6","6","5","5","4","1","6","7","1","1","7","1","7","2","1","5","2","2","6","1","7","6","1","1","3","6","3","6","3","2","6","6","6","1","2","1","4","7","7","6","7","2.4285714285714","2","2.5714285714286","2.6666666666667","2.4230769230769","6.8571428571429","5.8","6.1428571428571","6.3157894736842","6","3.8571428571429","6.2","5.1764705882353","5.8","6","5.8","5.8666666666667"
"A00038623","Adult- Age 22-59","V2","4","3","4","5","2","5","4","2","3","2","6","7","7","2","5","1","4","3","3","7","7","2","5","4","4","2","6","2","1","3","3","4","2","2","6","6","5","6","2","5","2","2","2","1","7","4","7","1","6","3","1","4","4","4","5","1","5","5","3","2","5","2","2","4","6","2","4","4","5","1","1","3","3","5","3","3","3","4","2.6666666666667","4.2857142857143","4","3.7692307692308","5.5714285714286","5.4","4.1428571428571","5","4.4","4.4285714285714","5.2","4.6470588235294","6","5.2","3","4.7333333333333"
"A00057965","ENROLLED","V2","1","1","3","3","5","2","1","1","1","4","4","1","5","4","4","5","5","4","2","3","6","2","4","6","2","5","2","4","3","6","4","4","1","4","5","1","5","5","5","5","5","1","7","3","1","6","5","2","4","2","1","5","2","2","7","1","4","3","2","4","3","4","4","4","4","4","6","4","4","4","2","5","2","5","6","5","5","2","4.1666666666667","3.4285714285714","2.1666666666667","2.9230769230769","5","4.4","5","4.8421052631579","3.8","4.4285714285714","3.6","4","5.6","4.2","5","4.9333333333333"
"A00061276","ONE_DAY- Age 22-59","VA","3","2","2","3","3","5","3","2","3","3","3","5","3","2","5","2","3","5","5","2","6","3","5","5","2","5","3","3","3","3","5","5","3","3","5","6","5","3","4","5","4","2","5","3","3","2","5","3","5","3","4","5","4","3","3","2","5","3","3","3","2","2","3","6","6","2","5","3","4","2","3","3","3","3","3","3","3","3.8571428571429","4","4.1428571428571","3.6666666666667","3.9230769230769","4.7142857142857","4.6","4.2857142857143","4.5263157894737","5.4","4.5714285714286","4.4","4.7647058823529","5.2","4.6","3.6","4.4666666666667"
"A00060480","ENROLLED","V2","2","1","5","5","2","3","3","6","3","1","5","4","5","2","6","5","5","2","6","6","5","4","6","6","5","3","5","6","6","5","5","5","4","4","5","7","5","6","7","5","6","4","6","3","3","5","4","5","6","4","1","5","5","4","7","3","5","5","3","5","4","4","3","5","4","5","3","2","6","2","2","6","6","3","6","5","5","3.2857142857143","4.1666666666667","3.7142857142857","4.6666666666667","3.9230769230769","4.7142857142857","4","4.2857142857143","4.3684210526316","4.6","5","5.2","4.9411764705882","5.4","4.2","5.2","4.9333333333333"
"A00039639","Older Adult- Age 65-85","V2","2","2","5","2","2","2","6","2","5","5","6","5","3","5","5","3","4","2","2","2","5","2","5","5","2","6","5","5","2","2","2","2","6","6","6","2","6","6","5","5","2","5","2","7","2","2","5","3","5","2","2","2","2","5","6","2","2","5","6","3","5","2","2","6","5","5","5","3","2","2","5","2","5","3","2","5","6","3.8571428571429","3.3333333333333","3.1428571428571","3.6666666666667","3.5","5.5714285714286","5.4","5.1428571428571","5.3684210526316","4.4","3.2857142857143","5.2","4.1764705882353","3","2.4","3.4","2.9333333333333"
