"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00058130","Older Adult- Age 65-85","V1","1","2","1","4","4","1","2","1","3","2","1","1","3","2","3","2","3","~<userSkipped>~","2","3","2","2","3","1","3","1","2","3","3","2","1","3","3","3","4","2","2","3","3","3","1","3","3","4","3","2","3","4","4","3","2","1","4","3","3","2","4","4","2","4","18","28","32!WithErrors!","34","37","1","80","48","51","25!WithErrors!","57","58"
"A00028656","Adult-Age 18-21","V1","3","1","4","3","1","4","3","3","3","1","1","1","3","4","1","3","3","3","2","3","2","2","3","3","1","2","0","4","1","1","2","2","1","3","3","3","2","3","3","3","4","3","1","3","1","2","1","4","3","2","2","3","4","3","1","3","1","4","3","2","31","22","37","34","20","2","20","61","39","62","51","30"
"A00059361","Older Adult- Age 65-85","V1","3","1","1","4","4","4","1","3","4","0","1","0","3","2","3","1","2","4","3","4","1","3","3","1","4","1","1","1","1","3","1","1","3","2","4","2","2","1","1","4","1","1","1","2","4","1","2","0","4","4","0","4","4","3","4","2","3","3","3","3","18","21","27","30","41","1","69","48","40","50","50","65"
"A00064053","ONE_DAY- Age 22-59","VA","3","3","3","4","2","3","4","3","4","3","3","2","3","4","3","4","4","3","3","4","4","2","4","3","3","4","0","4","1","3","4","3","4","4","4","0","3","4","4","4","1","3","3","4","4","4","1","2","4","4","2","3","3","2","1","0","3","3","4","3","32","31","39","41","38","2","52","62","53","66","63","58"
"A00063103","ONE_DAY- Age 22-59","VA","3","1","4","4","2","2","2","3","4","2","2","1","3","3","1","3","3","4","1","3","3","2","4","2","3","2","0","4","2","1","3","1","3","2","3","3","1","3","2","3","4","3","4","4","2","2","2","4","4","3","2","2","3","1","3","2","0","4","4","2","31","18","43","33","28","2","23","61","32","72","49","43"
"A00060582","Adult- Age 22-59","V1","1","3","1","4","3","2","4","3","4","4","0","3","1","4","3","0","4","3","2","3","0","1","3","4","3","0","3","3","3","2","0","3","3","3","3","1","3","3","4","4","0","4","2","3","4","1","2","3","4","3","0","2","2","3","4","1","1","1","4","3","6","33","28","42","39","2","22","29","56","48","65","60"
"A00066800","ONE_DAY- Age 22-59","VA","2","1","2","4","1","1","3","3","3","1","2","2","4","3","1","2","2","3","3","4","2","3","3","4","1","2","3","3","2","2","3","3","3","3","2","1","3","3","2","3","2","3","3","3","1","3","3","3","4","3","2","3","3","4","1","1","2","2","4","3","23","31","35","39","23","2","48","51","53","59","59","35"
"A00054533","Adult-Age 18-21","V1","2","1","3","3","3","3","4","3","3","2","3","1","1","2","3","1","3","3","1","3","1","2","3","4","3","0","2","3","1","2","1","2","2","1","3","1","4","2","1","4","1","3","1","3","1","1","2","3","3","3","1","4","3","3","3","3","3","2","4","2","18","31","29","29","32","2","21","45","53","50","42","49"
"A00028400","Adult- Age 22-59","V1","1","2","1","4","4","2","3","4","4","3","1","1","3","4","4","0","3","4","2","4","0","2","2","3","4","0","4","3","3","4","1","1","3","4","4","0","3","1","4","4","0","3","1","3","4","0","4","3","4","4","0","4","4","3","3","0","3","2","4","4","5","33","31","42","46","2","48","28","56","53","65","70"
"A00035364","Child-Age 12","V1","2","0","3","4","2","0","2","3","4","2","0","1","3","4","2","4","3","2","1","3","0","3","0","0","3","0","4","4","4","4","0","3","4","4","4","0","4","3","4","4","3","4","4","0","4","4","0","4","4","4","2","4","4","0","0","0","4","4","4","4","15","32","38","33","36","1","12","44","58","67","55","56"
"A00060407","Adult- Age 22-59","V1","1","2","3","3","4","3","4","3","3","3","2","3","4","2","3","1","4","4","2","3","1","3","3","1","3","1","3","4","2","3","1","2","3","4","4","1","4","3","2","3","0","4","2","3","3","1","3","3","3","3","1","3","4","1","4","1","4","4","2","4","14","39","40","28","40","1","43","43","69","70","46","63"
"A00028606","Adult- Age 22-59","V1","1","2","3","4","3","2","3","4","3","4","3","2","4","3","3","2","3","3","2","4","1","3","3","3","3","2","3","3","4","3","1","2","3","4","4","1","4","2","3","4","1","3","4","3","3","2","3","3","4","4","1","4","3","3","3","2","2","4","3","4","19","34","39","39","42","1","22","50","61","69","66","66"
"A00059362","Adult-Age 18-21","V1","4","4","4","4","3","4","4","4","3","0","3","4","3","3","0","3","4","2","3","4","2","3","0","1","1","4","4","3","1","0","4","2","2","4","4","1","4","4","4","2","2","4","0","4","0","2","2","4","4","1","2","3","4","4","4","2","4","1","0","4","33","42","31","35","23","2","19","64","71","53","52","35"
"A00035796","Adult- Age 22-59","V1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","48","25!WithErrors!","25!WithErrors!","25!WithErrors!","25!WithErrors!","25!WithErrors!"
"A00037877","Adult-Age 18-21","V1","3","3","2","4","2","1","4","3","4","2","3","3","1","3","2","1","4","4","2","3","3","3","0","3","3","2","4","2","3","0","3","3","2","3","3","1","4","3","4","4","3","4","1","3","3","1","3","2","4","4","2","3","2","2","0","1","4","1","4","3","24","42","23","39","29","2","19","52","71","40","59","44"
"A00037511","Adult- Age 22-59","V1","3","3","2","4","4","1","3","3","4","3","1","4","4","4","1","1","4","4","0","4","4","4","4","3","4","1","4","3","0","4","0","4","2","4","4","1","4","4","4","4","1","4","3","4","0","1","4","1","4","4","0","4","3","2","4","1","2","4","0","4","15","44","37","33","40","1","31","44","75","65","55","63"
"A00039655","Older Adult- Age 65-85","V1","1","1","2","3","2","1","1","4","3","3","1","1","3","1","3","1","2","4","3","2","0","1","3","3","2","0","3","4","3","3","1","1","3","2","2","2","2","3","3","3","1","2","3","3","2","0","1","4","2","2","0","4","4","3","3","0","1","4","3","2","8","20","41","32","29","1","69","34","38","72","54","45"
"A00056627","ENROLLED","V1","3","4","3","4","3","3","4","4","3","2","3","3","3","4","1","1","4","4","3","3","0","3","4","2","2","2","2","3","4","2","1","4","4","4","4","2","4","4","4","4","2","4","3","4","4","1","3","4","4","3","1","3","3","3","3","1","3","3","4","4","20","41","42","43","35","2","22","47","69","70","66","53"
"A00065722","ONE_DAY- Age 22-59","VA","3","2","3","4","4","2","2","4","4","3","2","3","3","4","4","2","4","4","3","4","1","3","4","3","3","2","1","3","2","4","2","2","3","2","3","1","3","3","3","3","1","4","3","4","3","2","2","3","4","3","0","4","3","3","4","0","3","2","3","3","18","33","38","39","41","1","59","48","60","67","66","65"
"A00044291","Adult- Age 22-59","V1","1","2","3","3","3","2","4","3","2","3","1","2","3","3","3","1","3","2","3","3","2","2","4","3","3","1","3","3","2","3","1","1","2","3","3","1","2","3","4","3","1","3","4","3","3","1","1","3","3","3","1","3","3","3","3","1","1","3","3","3","14","27","36","35","36","2","24","40","47","61","52","55"
"A00040890","Adult- Age 22-59","V1","2","3","2","3","4","2","4","3","1","3","1","3","0","2","3","1","4","3","3","3","1","2","0","3","3","0","2","3","3","1","1","1","2","3","3","3","3","2","3","3","1","3","0","3","3","1","3","2","3","3","1","1","2","3","4","1","2","0","3","2","15","31","19","33","35","2","24","41","53","33","49","53"
"A00073600","ONE_DAY","VA","1","2","3","3","3","3","3","3","3","4","3","2","4","3","3","1","3","3","3","3","1","1","3","3","3","2","2","3","2","3","1","2","3","1","4","2","4","2","4","3","2","2","4","2","3","1","2","3","3","4","1","4","4","2","3","2","2","3","3","3","20","29","38","32","39","2","22","47","50","64","47","60"
"A00053647","Adult- Age 22-59","V1","1","1","3","4","0","3","2","3","4","0","4","0","4","3","0","1","1","4","4","1","2","0","3","3","0","3","0","4","0","0","4","4","0","4","1","0","0","4","2","2","4","2","3","3","0","4","0","4","4","1","4","1","3","4","0","1","1","4","4","0","31","12","39","39","5","1","56","67","25","69","66","25"
"A00039490","Older Adult- Age 65-85","V1","2","2","0","2","2","1","3","3","3","3","1","1","2","3","2","1","2","3","3","3","1","1","1","3","1","1","3","3","2","3","2","1","3","1","2","1","1","3","3","2","1","3","3","3","3","1","1","3","3","1","2","1","3","3","3","1","2","3","3","1","15","21","30","32","26","2","71","41","37","51","47","40"
"A00064061","ONE_DAY-Age 65-85","VA","0","3","1","3","1","3","2","3","3","3","3","2","3","4","3","3","3","3","3","3","3","1","4","3","0","1","3","3","3","4","3","1","3","4","3","1","1","3","4","4","1","3","4","4","4","3","3","1","4","3","3","0","3","4","1","0","2","1","4","3","24","24","32","43","32","2","74","52","42","54","66","49"
"A00065480","ONE_DAY- Age 22-59","VA","3","3","3","4","2","3","4","4","3","2","3","3","4","3","2","2","3","2","2","3","1","1","3","3","2","1","2","3","1","2","3","3","4","2","3","3","3","3","3","3","1","3","3","3","3","2","2","2","3","3","1","3","3","2","2","1","2","3","3","3","24","32","37","32","30","2","45","52","55","62","47","46"
"A00060628","ONE_DAY- Age 18-21","VA","3","0","1","3","3","3","3","4","1","3","4","4","0","4","1","3","2","4","4","4","3","3","4","4","3","3","0","1","0","1","4","2","0","2","0","3","2","3","1","3","1","0","3","0","1","1","3","4","3","3","3","3","4","1","3","3","0","3","1","3","34","22","31","24","28","2","18","65","39","53","33","43"
"A00031219","Adolescent- Age  16-17","V1","4","0","4","4","4","0","4","4","4","1","4","1","4","2","1","3","3","3","0","2","2","2","3","4","2","2","0","4","2","1","4","2","4","0","3","3","3","4","2","3","1","3","4","3","4","2","4","4","4","3","1","3","4","2","3","2","2","4","4","1","28","27","46","31","28","2","17","57","47","75","45","43"
"A00035440","Older Adult- Age 60-64","V1","2","2","0","4","2","3","3","3","3","2","2","2","2","4","3","1","4","3","1","3","1","2","3","2","3","0","3","1","2","1","1","2","3","4","4","1","3","2","4","4","0","3","3","3","3","3","2","2","4","4","1","3","3","3","3","0","3","1","3","3","15","32","26","37","35","2","62","41","55","45","56","53"
"A00051604","Older Adult- Age 65-85","V1","2","1","0","3","2","1","3","2","4","3","2","3","2","4","2","1","3","3","4","4","1","2","1","3","1","1","2","3","2","3","1","1","1","2","3","2","3","3","3","3","2","2","2","3","3","1","2","1","3","3","1","3","3","3","3","2","3","1","3","3","17","28","22","37","33","1","69","47","51","42","62","51"
"A00055122","Child Age 15","V1","4","2","3","3","1","3","4","4","4","1","3","2","2","3","0","1","2","3","2","1","1","3","0","3","1","2","1","4","3","0","2","2","2","4","4","2","3","4","4","3","3","3","0","3","0","1","2","0","3","1","2","1","0","4","0","3","0","2","4","2","27","25","24","40","14","1","15","61","46","45","68","25"
"A00040383","Adult- Age 22-59","V1","4","1","1","3","2","3","3","2","4","3","2","1","2","3","2","3","1","3","3","4","1","1","2","4","2","2","0","3","1","3","2","2","2","3","2","1","1","3","3","4","3","2","1","4","4","2","1","3","4","3","1","2","2","4","1","1","0","0","4","3","25","15","24","40","33","2","52","54","27","41","61","50"
"A00044171","Adult-Age 18-21","V1","1","2","2","3","2","1","3","3","3","3","1","2","2","3","3","1","3","3","2","3","1","2","2","3","3","1","3","2","3","3","1","2","3","2","3","1","3","2","3","3","1","3","1","3","3","1","2","3","3","3","1","3","3","2","3","1","2","3","3","3","12","30","29","33","35","2","18","37","52","50","49","53"
"A00040439","Adult- Age 22-59","V1","3","4","0","4","4","1","3","3","4","4","0","1","0","4","4","3","1","3","3","4","0","3","1","4","3","1","4","1","3","4","3","1","3","3","4","3","0","3","4","4","3","4","0","3","4","3","1","2","4","4","1","1","3","3","4","0","1","1","4","4","21","24","20","43","47","2","58","48","42","35","66","72"
"A00066162","ENROLLED","VA_ALG","2","2","1","4","1","1","4","4","4","1","1","4","3","4","3","1","4","4","3","3","1","2","3","3","1","1","4","3","3","3","1","3","4","4","3","0","4","1","4","3","0","4","2","3","3","1","2","4","4","2","1","4","3","4","4","2","3","1","4","3","12","40","33","44","30","2","52","37","68","56","68","46"
"A00065935","ONE_DAY","VA","4","2","4","4","0","1","3","3","2","2","3","1","4","3","2","2","3","3","3","3","3","3","1","4","1","3","1","4","4","1","3","1","3","4","3","2","2","3","4","3","4","3","3","4","1","3","1","3","4","3","2","1","3","4","1","3","0","4","3","3","33","21","38","43","23","2","42","64","37","64","66","35"
"A00038831","Adult- Age 22-59","V1","4","4","2","0","3","3","4","4","4","3","0","0","0","3","3","0","4","4","0","4","0","4","2","0","4","0","4","2","0","4","0","4","2","0","4","2","4","4","2","4","0","4","2","0","1","0","4","0","4","4","0","4","4","0","2","2","2","2","0","4","11","42","28","13","40","1","23","39","74","51","25","63"
"A00028207","Adult- Age 22-59","V1","3","2","2","3","1","3","2","4","4","2","3","1","1","4","3","2","2","3","3","3","3","1","2","4","1","1","2","3","1","1","2","1","3","3","2","2","2","3","3","3","3","3","1","2","3","2","1","3","3","2","0","2","3","3","1","1","1","2","4","2","25","20","30","37","24","2","26","54","35","51","56","36"
"A00040678","Adult- Age 22-59","V1","2","2","2","4","2","2","2","3","3","3","1","3","2","2","2","2","3","3","3","2","1","2","3","2","2","1","3","3","2","3","1","1","2","2","2","2","2","2","2","3","1","3","2","2","3","3","1","3","3","2","1","2","2","2","2","1","2","2","3","2","18","26","29","30","28","2","46","45","45","50","44","43"
"A00063008","ONE_DAY","VA","0","2","2","3","4","1","4","4","3","3","2","3","2","3","3","2","3","3","3","2","1","2","2","4","3","1","3","2","3","3","3","3","2","3","2","1","4","2","3","4","2","2","2","2","1","3","1","2","3","3","1","4","3","0","4","1","3","2","3","3","18","34","28","33","35","2","43","45","58","48","49","53"
"A00055121","ENROLLED","V1","0","4","3","4","4","0","4","4","4","4","0","4","4","4","0","0","4","4","4","4","0","0","4","0","4","0","4","1","4","4","0","0","1","4","4","0","4","3","4","4","0","4","4","4","4","4","4","4","4","4","0","4","4","4","4","0","4","4","4","4","4","40","40","44","44","1","28","29","71","70","75","70"
"A00055462","Child Age 15","V1","0","4","4","3","3","3","2","2","3","3","0","1","3","4","3","1","3","4","0","3","0","3","4","3","3","1","3","4","2","4","0","2","2","2","3","2","2","4","4","2","0","3","2","4","3","1","1","0","4","4","0","4","3","0","4","1","2","2","1","3","9","30","34","30","38","1","15","36","55","61","50","60"
"A00054482","Older Adult- Age 65-85","V1","2","2","0","4","4","2","4","4","4","4","1","2","4","4","4","1","4","4","2","4","2","2","4","4","2","0","2","4","4","4","2","3","3","4","4","0","4","4","4","4","0","4","4","3","4","0","1","4","4","4","0","4","4","4","4","0","0","2","4","4","10","32","41","45","46","2","71","35","55","69","70","70"
"A00055267","Child Age 13","V1","3","4","2","3","2","2","3","4","2","3","2","1","3","2","2","3","3","2","1","4","1","3","1","2","3","3","3","2","2","1","2","2","2","3","3","3","2","2","1","3","2","3","2","1","1","3","1","3","3","3","2","2","2","3","3","3","3","3","3","4","29","30","28","26","32","1","13","64","55","51","43","50"
"A00040573","Adult- Age 22-59","V1","3","3","1","4","2","3","4","4","3","2","2","3","3","3","3","2","4","3","1","3","1","3","3","3","2","2","3","1","2","3","1","3","1","3","3","1","3","3","4","3","1","3","3","3","3","2","3","3","3","2","1","3","4","2","2","2","3","3","3","3","21","38","32","34","31","2","27","48","65","54","51","47"
"A00037421","Adult- Age 22-59","V1","4","4","0","4","4","2","1","3","4","3","4","3","2","4","3","4","4","3","4","3","4","3","2","3","0","4","1","4","3","4","4","3","3","3","4","1","3","4","4","4","4","4","2","1","3","4","2","3","4","4","4","3","4","4","4","3","1","1","4","4","42","32","31","42","40","2","44","75","55","53","65","61"
"A00054656","Older Adult- Age 60-64","V1","1","2","3","3","3","3","3","3","3","3","1","2","3","2","3","2","3","3","2","3","1","3","3","2","3","2","3","3","2","3","1","2","3","3","3","1","3","3","2","3","1","3","3","3","3","1","2","3","3","3","1","3","3","3","3","2","3","3","3","3","17","32","36","31","36","1","60","47","58","64","52","56"
"A00060602","ENROLLED","VA_ALG","2","2","2","4","4","3","3","4","4","3","1","4","2","4","4","2","4","3","4","4","0","2","3","3","3","0","3","2","2","4","2","3","3","4","4","2","3","1","4","4","0","4","3","3","4","3","2","3","4","4","0","4","4","2","4","1","2","2","4","3","16","36","32","42","45","2","68","42","61","54","65","69"
"A00032862","Adult- Age 22-59","V1","1","2","3","4","4","1","3","4","4","3","1","4","4","3","4","3","4","3","4","4","0","2","3","2","3","2","2","4","1","1","3","2","4","3","3","2","4","4","4","3","0","4","4","4","4","3","1","4","4","4","1","4","4","3","3","0","0","4","4","4","17","32","45","40","40","2","50","43","55","75","61","61"
"A00061727","ONE_DAY- Age 18-21","VA","3","2","2","4","2","2","3","3","4","2","3","1","3","4","3","2","3","3","2","3","2","2","3","4","2","2","3","2","3","3","2","2","2","4","3","3","2","2","4","3","2","4","2","4","4","2","3","2","4","3","1","2","3","2","2","1","2","3","4","3","25","29","30","43","33","2","20","54","50","51","66","50"
"A00052234","Older Adult- Age 65-85","V1","2","3","2","4","3","0","4","4","3","1","1","4","3","4","3","0","4","3","4","4","0","3","0","4","1","0","3","2","1","3","2","0","2","4","3","3","4","1","4","4","2","4","2","2","4","0","3","3","4","3","1","4","2","2","3","0","0","0","4","3","11","36","24","40","35","2","66","36","61","41","61","53"
"A00028605","Adult- Age 22-59","V1","2","2","1","4","1","0","3","4","2","2","0","1","3","4","2","0","3","4","3","3","1","3","3","2","1","1","3","4","2","1","1","2","3","3","3","2","3","3","4","4","0","3","2","3","3","2","2","4","4","4","0","1","4","2","1","1","2","3","2","4","10","28","38","35","29","1","59","37","51","67","59","45"
"A00037784","Adult- Age 22-59","V1","2","1","1","3","2","1","3","3","3","3","1","3","3","3","3","1","3","3","1","3","1","2","3","3","3","1","3","3","1","3","1","3","3","3","3","1","3","1","3","3","1","3","3","3","3","1","1","3","3","3","1","3","3","3","3","1","3","2","3","3","13","31","31","32","35","1","41","41","56","56","54","55"
"A00066822","ONE_DAY","VA","4","2","3","4","4","3","3","4","2","3","3","2","3","3","3","3","2","3","1","4","3","2","3","3","3","3","1","2","2","3","3","1","3","2","3","3","2","3","3","4","3","2","3","3","3","3","3","4","4","4","2","3","3","2","3","3","2","3","2","3","36","25","37","31","40","2","26","67","44","62","45","61"
"A00037119","Adult- Age 22-59","V1","2","1","2","4","3","3","4","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","1","3","3","3","3","0","3","3","3","3","3","0","3","3","1","3","1","2","1","3","2","2","2","3","3","3","1","1","2","1","3","1","4","29","26","26","23","29","1","45","64","48","48","38","45"
"A00033998","Older Adult- Age 60-64","V1","1","2","1","4","4","1","4","3","4","3","1","3","3","4","4","1","3","3","3","4","1","3","4","3","3","0","3","3","3","4","1","2","3","3","3","1","2","3","3","4","0","3","4","3","4","3","2","4","4","3","0","3","3","3","4","1","2","3","4","3","11","32","37","41","43","1","62","39","58","65","69","68"
